通道一计数表：,,,,,,,
ID,计数时长(s),计数,计数率,,,,
64,1,55,55,,,,
65,1,54,54,,,,
66,1,51,51,,,,
67,1,45,45,,,,
68,1,52,52,,,,
69,1,61,61,,,,
70,1,34,34,,,,
71,1,52,52,,,,
72,1,50,50,,,,
73,1,62,62,,,,
74,1,46,46,,,,
75,1,42,42,,,,
76,1,43,43,,,,
77,1,39,39,,,,
78,1,52,52,,,,
79,1,51,51,,,,
80,1,55,55,,,,
81,1,43,43,,,,
82,1,47,47,,,,
83,1,56,56,,,,
84,1,58,58,,,,
85,1,50,50,,,,
86,1,57,57,,,,
87,1,52,52,,,,
88,1,57,57,,,,
89,1,61,61,,,,
90,1,39,39,,,,
91,1,52,52,,,,
92,1,54,54,,,,
93,1,49,49,,,,
94,1,50,50,,,,
95,1,52,52,,,,
96,1,48,48,,,,
97,1,47,47,,,,
98,1,57,57,,,,
99,1,60,60,,,,
100,1,47,47,,,,
101,1,41,41,,,,
102,1,51,51,,,,
103,1,44,44,,,,
104,1,53,53,,,,
105,1,46,46,,,,
106,1,54,54,,,,
107,1,47,47,,,,
108,1,41,41,,,,
109,1,43,43,,,,
110,1,51,51,,,,
111,1,51,51,,,,
112,1,51,51,,,,
113,1,39,39,,,,
114,1,50,50,,,,
115,1,49,49,,,,
116,1,44,44,,,,
117,1,36,36,,,,
118,1,53,53,,,,
119,1,41,41,,,,
120,1,51,51,,,,
121,1,54,54,,,,
122,1,49,49,,,,
123,1,54,54,,,,
124,1,48,48,,,,
125,1,40,40,,,,
126,1,53,53,,,,
127,1,45,45,,,,
128,1,55,55,,,,
129,1,59,59,,,,
130,1,43,43,,,,
131,1,53,53,,,,
132,1,43,43,,,,
133,1,58,58,,,,
134,1,34,34,,,,
135,1,45,45,,,,
136,1,47,47,,,,
137,1,47,47,,,,
138,1,60,60,,,,
139,1,48,48,,,,
140,1,48,48,,,,
141,1,57,57,,,,
142,1,48,48,,,,
143,1,47,47,,,,
144,1,61,61,,,,
145,1,40,40,,,,
146,1,51,51,,,,
147,1,57,57,,,,
148,1,51,51,,,,
149,1,40,40,,,,
150,1,45,45,,,,
151,1,54,54,,,,
152,1,61,61,,,,
153,1,57,57,,,,
154,1,45,45,,,,
155,1,56,56,,,,
156,1,43,43,,,,
157,1,40,40,,,,
158,1,47,47,,,,
159,1,51,51,,,,
160,1,57,57,,,,
161,1,47,47,,,,
162,1,57,57,,,,
163,1,54,54,,,,
164,1,53,53,,,,
165,1,57,57,,,,
166,1,70,70,,,,
167,1,57,57,,,,
168,1,60,60,,,,
169,1,45,45,,,,
170,1,44,44,,,,
171,1,50,50,,,,
172,1,53,53,,,,
173,1,41,41,,,,
174,1,41,41,,,,
175,1,58,58,,,,
176,1,57,57,,,,
177,1,44,44,,,,
178,1,53,53,,,,
179,1,46,46,,,,
180,1,49,49,,,,
181,1,55,55,,,,
182,1,43,43,,,,
183,1,51,51,,,,
184,1,59,59,,,,
185,1,61,61,,,,
186,1,50,50,,,,
187,1,52,52,,,,
188,1,59,59,,,,
189,1,50,50,,,,
190,1,54,54,,,,
191,1,39,39,,,,
192,1,53,53,,,,
193,1,45,45,,,,
194,1,48,48,,,,
195,1,57,57,,,,
196,1,51,51,,,,
,,总平均,49.86394558,,,,
,,,,,,,49.86395
