谱信息：
开始时间,20:09:27
测量时间,85.239
死时间,1.003
总计数,250877
通道1道址,通道1计数,通道2道址,通道2计数
555,5,555,5
556,9,556,9
557,2,557,2
558,7,558,7
559,11,559,11
560,8,560,8
561,9,561,9
562,4,562,4
563,5,563,5
564,7,564,7
565,5,565,5
566,8,566,8
567,10,567,10
568,14,568,14
569,3,569,3
570,3,570,3
571,12,571,12
572,7,572,7
573,7,573,7
574,7,574,7
575,6,575,6
576,3,576,3
577,3,577,3
578,5,578,5
579,6,579,6
580,6,580,6
581,3,581,3
582,8,582,8
583,4,583,4
584,6,584,6
585,12,585,12
586,12,586,12
587,5,587,5
588,8,588,8
589,4,589,4
590,7,590,7
591,6,591,6
592,7,592,7
593,7,593,7
594,6,594,6
595,8,595,8
596,4,596,4
597,7,597,7
598,6,598,6
599,10,599,10
600,6,600,6
601,6,601,6
602,3,602,3
603,5,603,5
604,9,604,9
605,11,605,11
606,4,606,4
607,5,607,5
608,7,608,7
609,10,609,10
610,1,610,1
611,7,611,7
612,6,612,6
613,5,613,5
614,6,614,6
615,7,615,7
616,8,616,8
617,5,617,5
618,4,618,4
619,5,619,5
620,8,620,8
621,3,621,3
622,5,622,5
623,8,623,8
624,7,624,7
625,5,625,5
626,4,626,4
627,3,627,3
628,3,628,3
629,9,629,9
630,2,630,2
631,5,631,5
632,4,632,4
633,7,633,7
634,11,634,11
635,7,635,7
636,7,636,7
637,6,637,6
638,7,638,7
639,5,639,5
640,7,640,7
641,4,641,4
642,3,642,3
643,5,643,5
644,8,644,8
645,3,645,3
646,4,646,4
647,11,647,11
648,7,648,7
649,4,649,4
650,4,650,4
651,10,651,10
652,5,652,5
653,8,653,8
654,5,654,5
655,7,655,7
656,8,656,8
657,5,657,5
658,4,658,4
659,5,659,5
660,3,660,3
661,6,661,6
662,4,662,4
663,3,663,3
664,6,664,6
665,5,665,5
666,5,666,5
667,6,667,6
668,5,668,5
669,2,669,2
670,8,670,8
671,6,671,6
672,8,672,8
673,8,673,8
674,3,674,3
675,7,675,7
676,3,676,3
677,14,677,14
678,3,678,3
679,11,679,11
680,7,680,7
681,11,681,11
682,8,682,8
683,5,683,5
684,9,684,9
685,9,685,9
686,9,686,9
687,8,687,8
688,6,688,6
689,9,689,9
690,7,690,7
691,5,691,5
692,8,692,8
693,8,693,8
694,4,694,4
695,10,695,10
696,6,696,6
697,9,697,9
698,3,698,3
699,6,699,6
700,9,700,9
701,8,701,8
702,5,702,5
703,7,703,7
704,5,704,5
705,7,705,7
706,3,706,3
707,5,707,5
708,11,708,11
709,7,709,7
710,7,710,7
711,4,711,4
712,7,712,7
713,5,713,5
714,4,714,4
715,11,715,11
716,16,716,16
717,7,717,7
718,10,718,10
719,4,719,4
720,8,720,8
721,10,721,10
722,5,722,5
723,9,723,9
724,9,724,9
725,10,725,10
726,6,726,6
727,7,727,7
728,4,728,4
729,4,729,4
730,11,730,11
731,12,731,12
732,5,732,5
733,5,733,5
734,8,734,8
735,9,735,9
736,5,736,5
737,6,737,6
738,8,738,8
739,6,739,6
740,12,740,12
741,8,741,8
742,11,742,11
743,8,743,8
744,5,744,5
745,7,745,7
746,3,746,3
747,10,747,10
748,7,748,7
749,11,749,11
750,8,750,8
751,6,751,6
752,7,752,7
753,3,753,3
754,2,754,2
755,6,755,6
756,8,756,8
757,8,757,8
758,7,758,7
759,7,759,7
760,11,760,11
761,0,761,0
762,9,762,9
763,9,763,9
764,5,764,5
765,3,765,3
766,5,766,5
767,12,767,12
768,5,768,5
769,9,769,9
770,3,770,3
771,7,771,7
772,6,772,6
773,8,773,8
774,6,774,6
775,7,775,7
776,4,776,4
777,5,777,5
778,9,778,9
779,9,779,9
780,8,780,8
781,7,781,7
782,7,782,7
783,9,783,9
784,4,784,4
785,3,785,3
786,6,786,6
787,11,787,11
788,4,788,4
789,2,789,2
790,4,790,4
791,9,791,9
792,6,792,6
793,9,793,9
794,5,794,5
795,8,795,8
796,10,796,10
797,4,797,4
798,8,798,8
799,2,799,2
800,12,800,12
801,11,801,11
802,7,802,7
803,3,803,3
804,4,804,4
805,5,805,5
806,8,806,8
807,6,807,6
808,3,808,3
809,4,809,4
810,9,810,9
811,8,811,8
812,4,812,4
813,7,813,7
814,7,814,7
815,7,815,7
816,4,816,4
817,11,817,11
818,6,818,6
819,10,819,10
820,7,820,7
821,12,821,12
822,8,822,8
823,7,823,7
824,10,824,10
825,8,825,8
826,5,826,5
827,8,827,8
828,10,828,10
829,4,829,4
830,2,830,2
831,5,831,5
832,6,832,6
833,4,833,4
834,7,834,7
835,8,835,8
836,5,836,5
837,2,837,2
838,4,838,4
839,2,839,2
840,8,840,8
841,9,841,9
842,9,842,9
843,5,843,5
844,4,844,4
845,8,845,8
846,5,846,5
847,3,847,3
848,4,848,4
849,5,849,5
850,9,850,9
851,6,851,6
852,5,852,5
853,7,853,7
854,6,854,6
855,5,855,5
856,4,856,4
857,8,857,8
858,6,858,6
859,3,859,3
860,9,860,9
861,6,861,6
862,6,862,6
863,8,863,8
864,6,864,6
865,8,865,8
866,7,866,7
867,6,867,6
868,5,868,5
869,7,869,7
870,5,870,5
871,5,871,5
872,7,872,7
873,8,873,8
874,6,874,6
875,8,875,8
876,7,876,7
877,3,877,3
878,10,878,10
879,5,879,5
880,6,880,6
881,3,881,3
882,4,882,4
883,6,883,6
884,7,884,7
885,9,885,9
886,4,886,4
887,10,887,10
888,5,888,5
889,7,889,7
890,6,890,6
891,7,891,7
892,6,892,6
893,8,893,8
894,7,894,7
895,8,895,8
896,6,896,6
897,8,897,8
898,9,898,9
899,3,899,3
900,3,900,3
901,8,901,8
902,7,902,7
903,5,903,5
904,10,904,10
905,5,905,5
906,8,906,8
907,9,907,9
908,4,908,4
909,6,909,6
910,8,910,8
911,6,911,6
912,4,912,4
913,10,913,10
914,8,914,8
915,7,915,7
916,8,916,8
917,16,917,16
918,2,918,2
919,7,919,7
920,3,920,3
921,7,921,7
922,4,922,4
923,2,923,2
924,5,924,5
925,10,925,10
926,4,926,4
927,4,927,4
928,7,928,7
929,10,929,10
930,7,930,7
931,7,931,7
932,8,932,8
933,8,933,8
934,5,934,5
935,12,935,12
936,4,936,4
937,7,937,7
938,4,938,4
939,12,939,12
940,8,940,8
941,5,941,5
942,12,942,12
943,7,943,7
944,6,944,6
945,4,945,4
946,6,946,6
947,3,947,3
948,7,948,7
949,5,949,5
950,6,950,6
951,6,951,6
952,4,952,4
953,8,953,8
954,12,954,12
955,7,955,7
956,4,956,4
957,7,957,7
958,3,958,3
959,5,959,5
960,6,960,6
961,7,961,7
962,5,962,5
963,7,963,7
964,7,964,7
965,6,965,6
966,2,966,2
967,5,967,5
968,10,968,10
969,4,969,4
970,3,970,3
971,8,971,8
972,11,972,11
973,5,973,5
974,6,974,6
975,6,975,6
976,3,976,3
977,3,977,3
978,12,978,12
979,9,979,9
980,7,980,7
981,6,981,6
982,2,982,2
983,7,983,7
984,5,984,5
985,6,985,6
986,7,986,7
987,7,987,7
988,9,988,9
989,6,989,6
990,2,990,2
991,8,991,8
992,9,992,9
993,4,993,4
994,6,994,6
995,6,995,6
996,5,996,5
997,8,997,8
998,8,998,8
999,2,999,2
1000,5,1000,5
