谱信息：
开始时间,20:01:13
测量时间,263.990
死时间,19.695
总计数,4923767
通道1道址,通道1计数,通道2道址,通道2计数
467,9828,467,9894
468,9756,468,9814
469,9844,469,9940
470,9807,470,9929
471,9994,471,9884
472,9931,472,9753
473,10054,473,9861
474,9768,474,9781
475,9933,475,9884
476,9875,476,9870
477,9613,477,9981
478,9760,478,9941
479,10036,479,9983
480,10013,480,10001
481,9983,481,9804
482,9900,482,9862
483,9995,483,9822
484,9792,484,9926
485,9763,485,9645
486,9782,486,9853
487,9883,487,9920
488,9865,488,9845
489,9758,489,9709
490,9743,490,9957
491,9876,491,9821
492,9756,492,9727
493,9866,493,9779
494,9947,494,9908
495,9996,495,9658
496,9878,496,9635
497,9830,497,9842
498,9955,498,9861
499,10078,499,9849
500,9953,500,10019
501,9740,501,9878
502,9733,502,9900
503,9745,503,10026
504,9896,504,9744
505,9729,505,9635
506,9700,506,9825
507,9873,507,10028
508,9941,508,9840
509,10065,509,9801
510,9816,510,9997
511,9933,511,9924
