谱信息：
开始时间,19:37:54
测量时间,270.356
死时间,20.675
总计数,5168987
通道1道址,通道1计数,通道2道址,通道2计数
424,8719,424,8834
425,9029,425,9028
426,9269,426,9322
427,9583,427,9546
428,9512,428,9707
429,9666,429,9863
430,9735,430,9763
431,9882,431,10108
432,10026,432,9987
433,10090,433,9939
434,10256,434,10095
435,10112,435,10236
436,10163,436,9970
437,10217,437,10192
438,10235,438,10344
439,10636,439,10075
440,10504,440,10236
441,10174,441,10084
442,10289,442,10231
443,10084,443,10381
444,10534,444,10397
445,10241,445,10253
446,10202,446,10277
447,10356,447,10386
448,10283,448,10249
449,10341,449,10255
450,10436,450,10335
451,10273,451,10279
452,10293,452,10413
453,10265,453,10389
454,10366,454,10331
455,10487,455,10482
456,10190,456,10335
457,10390,457,10474
458,10357,458,10276
459,10403,459,10358
460,10350,460,10420
461,10395,461,10420
462,10501,462,10407
463,10466,463,10528
464,10286,464,10262
465,10420,465,10374
466,10539,466,10480
467,10466,467,10404
468,10460,468,10334
469,10352,469,10482
470,10337,470,10275
471,10518,471,10401
472,10398,472,10384
473,10496,473,10394
474,10262,474,10361
475,10242,475,10423
476,10372,476,10573
477,10300,477,10581
478,10470,478,10479
479,10329,479,10230
480,10364,480,10518
481,10633,481,10410
482,10510,482,10499
483,10293,483,10306
484,10464,484,10541
485,10466,485,10434
486,10565,486,10441
487,10361,487,10341
488,10365,488,10291
489,10362,489,10517
490,10381,490,10451
491,10335,491,10375
492,10489,492,10367
493,10282,493,10488
494,10458,494,10356
495,10424,495,10493
496,10344,496,10335
497,10491,497,10376
498,10233,498,10331
499,10404,499,10529
500,10347,500,10510
501,10447,501,10493
502,10421,502,10360
503,10389,503,10459
504,10294,504,10528
505,10462,505,10552
506,10284,506,10432
507,10573,507,10527
508,10376,508,10502
509,10453,509,10286
510,10210,510,10564
511,10522,511,10330
